index,cities,Lat,Temperature,Humidity,Cloudiness (%),Wind Speed (mph)
212,provideniya,64.42,37.13,100,20,22.19
213,clarksburg,39.28,52,66,90,8.05
214,khao yoi,13.24,61.34,77,0,3.4
215,port-gentil,-0.72,80.6,83,20,6.93
216,innisfail,52.02,30.2,92,90,4.7
217,ust-ishim,57.69,33.4,86,64,11.45
218,hasaki,35.73,46.27,93,20,5.82
219,pringsewu,-5.36,73.9,93,92,1.61
220,marrakesh,31.63,64.4,63,0,9.17
221,minot,48.23,37.44,89,90,6.08
222,pokrovsk,48.28,40.33,81,0,9.1
223,margate,-43.03,44.6,75,20,17.22
224,bonito,-21.13,88.57,70,12,4.52
225,kavaratti,10.57,85.19,99,36,3.62
226,twentynine palms,34.14,85.73,20,1,3.36
227,souillac,45.6,46.2,81,0,5.82
228,kachiry,53.07,30.97,92,88,17.72
229,karratha,-20.74,70.93,58,0,7.76
230,dulce grande,23,64.4,45,40,4.74
231,cidreira,-30.17,70.88,75,0,16.6
232,biltine,14.53,71.2,26,0,7.99
233,natal,-5.81,82.4,69,40,14.99
234,puerto suarez,-18.96,90.46,63,75,3.74
235,saint-joseph,43.56,57.15,87,0,1.12
236,belaya gora,68.54,3.97,80,68,2.95
237,wenling,28.38,63.82,100,100,10.11
238,laguna,27.52,87.8,27,5,3.4
239,palana,59.08,12.43,83,80,2.95
240,guerrero negro,27.97,80.24,35,0,7.09
241,anadyr,64.73,33.8,86,90,6.71
242,padang,-0.92,77.72,100,92,5.53
243,te anau,-45.41,57.2,93,76,18.05
244,ofaqim,31.31,54.32,81,0,5.97
245,wladyslawowo,54.79,48.2,81,0,4.7
246,oranjemund,-28.55,60.62,87,48,1.95
247,farah,32.37,38.93,69,0,6.08
248,muzhi,65.4,17.24,90,0,6.98
249,saint george,39.45,59,93,0,2.39
250,harper,30.3,70.16,29,1,6.93
251,mathbaria,22.29,71.92,97,48,1.72
252,saint anthony,43.97,51.71,58,40,19.46
253,simi,38.64,75.76,44,1,5.86
254,alice springs,-23.7,71.6,68,0,4.7
255,hualmay,-11.1,71.42,65,36,4.74
256,beloha,-25.17,67.55,94,32,5.75
257,nouakchott,18.08,75.38,91,0,15.37
258,lazaro cardenas,28.39,66.2,34,5,8.05
259,komsomolskiy,67.55,21.88,85,76,8.77
260,saint-philippe,45.36,39.52,100,90,13.87
261,tuktoyaktuk,69.44,14,85,90,9.17
262,zhuhai,40.71,33.8,74,56,6.71
263,bambari,5.77,74.93,87,48,5.53
264,gijon,43.54,55.4,87,40,3.36
265,huilong,28.89,38.93,79,0,2.17
266,hofn,64.25,33.8,55,75,10.29
267,adrar,27.87,71.6,33,0,11.41
268,sattenapalle,16.39,75.02,93,48,2.73
269,codrington,-28.95,68.36,77,20,7.09
270,burlington,43.32,41.38,100,90,5.82
271,bethel,60.79,17.06,87,1,14.99
272,segezha,63.74,38.98,99,92,7.76
273,vardo,39.62,68.94,83,75,3.62
274,shuyskoye,59.37,37.27,98,92,8.21
275,iqaluit,63.75,3.2,71,20,12.75
276,taft,11.9,78.53,100,100,7.43
277,log,45.62,60.8,100,90,4.7
278,lata,30.78,40.01,100,92,1.61
279,grand gaube,-20.01,75.2,83,40,6.93
280,kosjeric,44,58.35,82,0,2.17
281,gorey,3.22,77.18,64,0,9.78
282,takoradi,4.89,79.97,100,24,6.64
283,severomuysk,56.17,-1.48,69,44,3.62
284,rabo de peixe,37.8,68,88,75,8.05
285,kendari,-3.99,71.65,90,0,1.95
286,constitucion,23.99,64.4,39,5,3.36
287,katsuura,33.93,47.75,100,0,4.29
288,lakatoro,-16.11,78.44,83,64,15.03
289,nemuro,43.32,51.98,100,0,14.7
290,champerico,16.38,86,55,40,4.7
291,kota,25.17,65.03,71,0,2.73
292,svetlogorsk,53.14,33.8,80,90,11.18
293,creel,27.75,66.43,26,0,2.62
294,suleja,9.18,78.8,69,20,2.73
295,regeneracao,-6.24,92.35,41,48,2.39
296,maroua,10.6,70.88,47,0,4.85
297,imbituba,-28.24,71.6,73,75,10.29
298,port lincoln,-34.72,58.87,91,92,9.66
299,nuuk,64.17,19.4,67,75,11.41
300,husavik,50.56,34.97,100,88,4.52
301,chapais,49.78,35.6,74,75,9.17
302,oga,8.18,77,78,12,5.64
303,guaiba,-30.11,78.8,44,0,10.29
304,dunedin,-45.87,64.18,63,48,15.03
305,pangnirtung,66.15,15.8,61,40,7.76
306,itoman,26.12,71.74,83,75,12.75
307,pattoki,31.02,61.97,90,0,9.33
308,umm kaddadah,13.6,71.96,22,0,11.01
309,paraiso,24.01,64.4,39,5,3.36
310,saint-augustin,44.83,47.21,87,0,5.82
311,manhattan,39.18,55.29,50,1,9.17
312,camabatela,-8.19,68.45,83,0,4.97
313,makakilo city,21.35,78.69,94,40,3.36
314,la ronge,55.1,26.6,73,90,2.24
315,kaitangata,-46.28,66.56,73,36,10.45
316,salsomaggiore terme,44.81,55.4,100,90,4.7
317,benemerito de las americas,16.52,79.03,89,68,3.96
318,acapulco,16.86,86,74,20,6.93
319,havoysund,71,42.8,90,0,23.04
320,namibe,-15.19,72.32,100,0,10.78
321,ahipara,-35.17,62.02,75,0,16.71
322,cabo san lucas,22.89,82.53,57,5,8.05
323,visby,57.64,46.4,93,40,16.11
324,boyolangu,-8.09,69.67,87,8,4.18
325,makarov,48.62,45.59,76,0,12.46
326,revda,67.94,24.71,98,68,2.73
327,qasigiannguit,68.82,12.2,56,75,21.92
328,mezen,65.85,31.33,95,88,2.84
329,bikin,46.82,28.27,96,0,4.52
330,tateyama,36.66,31.78,92,0,2.73
331,popondetta,-8.77,70.3,80,8,2.06
332,seoul,37.57,40.33,87,20,4.7
333,guider,9.93,67.42,58,0,3.62
334,sembakung,3.82,77.18,89,76,2.06
335,borogontsy,62.67,16.75,69,68,8.21
336,dali,25.6,36.73,100,0,1.95
337,lamar,38.09,60.08,34,1,9.22
338,lagoa,37.14,64.4,82,20,8.05
339,rio grande,-32.03,69.8,60,0,14.99
340,camacha,33.08,66.2,82,40,14.99
341,salalah,17.01,80.6,78,75,3.36
342,saldanha,41.42,44.69,90,12,2.51
343,havelock,34.88,76.51,81,75,9.17
344,kardamaina,36.78,66.2,72,0,3.36
345,inongo,-1.93,71.92,99,8,3.18
346,beringovskiy,63.05,32.99,100,92,9.89
347,narayanpet,16.73,72.55,91,20,5.75
348,tarakan,3.3,80.38,100,76,1.72
349,teya,21.05,82.4,83,90,9.17
350,vestmannaeyjar,63.44,36.28,100,92,19.51
351,visim,57.65,35.02,93,88,6.31
352,tuatapere,-46.13,58.28,89,88,16.37
353,lorengau,-2.02,80.15,100,88,7.99
354,vanavara,60.35,11.84,61,68,6.76
355,maun,-19.99,89.6,18,0,8.05
356,caravelas,-17.73,78.62,99,12,13.69
357,belmonte,40.36,43.16,88,0,2.84
358,severo-kurilsk,50.68,41.32,93,44,17.05
359,dongsheng,29.72,44.96,87,0,2.51
360,bathsheba,13.22,86,66,40,21.92
361,sioux lookout,50.1,32,78,90,4.7
362,lichtenburg,-26.15,58.87,38,44,7.76
363,yeniseysk,58.45,23.72,74,80,9.89
364,amurzet,47.69,32.95,85,0,10.67
365,butterworth,5.4,79.72,94,75,3.36
366,fraga,41.52,37.94,88,36,4.18
367,palatka,29.65,75.83,90,90,12.75
368,kirkwood,-33.4,60.8,77,0,13.87
369,high level,58.52,26.6,92,90,5.82
370,eureka,40.8,62.28,77,90,8.05
371,alekseyevsk,57.84,10.22,59,56,4.41
372,sambava,-14.27,76.46,100,32,12.46
373,pauini,-7.71,80.78,90,56,3.85
374,roald,62.58,41.49,100,75,9.17
375,paralimni,40.99,50.77,86,12,1.28
376,ulladulla,-35.36,75.2,47,0,18.34
377,jiayuguan,39.77,21.38,84,80,2.95
378,honiara,-9.43,73.4,100,40,2.24
379,boca do acre,-8.76,86.63,72,76,2.84
380,olga,34.11,84.61,18,1,2.73
381,lekoni,-1.58,73.58,95,8,3.51
382,cheney,47.49,54.37,71,40,21.92
383,amga,60.89,15.13,63,56,6.64
384,valparaiso,41.47,47.97,60,90,5.82
385,bafq,31.6,34.34,75,0,3.96
386,santa rosa,-36.62,64.13,100,20,6.87
387,vrangel,42.73,49.28,100,0,9.33
388,toamasina,-18.17,73.4,88,40,4.7
389,suntar,62.16,17.33,64,80,10.56
390,cairns,-16.92,73.4,88,75,12.75
391,port augusta,-32.49,53.6,87,8,5.82
392,jerome,34.75,61.12,31,1,3.36
393,biak,-0.91,78.17,98,56,1.39
394,tessaoua,13.76,68.95,36,0,5.3
395,herouville-saint-clair,49.21,38.59,86,0,4.63
396,porto novo,-23.68,73.4,78,75,17.22
397,yaan,7.38,77.32,88,36,6.87
398,bubaque,11.28,87.8,62,20,3.36
399,copiapo,-27.37,66.2,52,0,12.75
400,balikpapan,-1.24,80.92,100,32,2.84
401,pinar del rio,22.42,82.76,75,36,5.86
402,huancayo,-12.08,44.06,96,92,1.5
403,nianzishan,47.51,43.3,54,64,12.01
404,jardim,-21.48,88.43,68,8,5.19
405,zhigansk,66.77,-0.18,76,8,8.1
406,polson,47.69,42.17,97,80,7.76
407,filadelfia,-22.35,92.75,53,0,14.58
408,anjozorobe,-18.4,64.4,93,40,4.7
409,babu,23.23,39.83,84,0,1.72
410,charters towers,-20.07,69.98,80,12,9.66
411,alyangula,-13.85,83.03,100,20,12.12
412,jacareacanga,-6.22,86,70,75,4.7
413,yumen,40.29,28.13,76,76,1.16
414,lanigan,51.85,32.09,70,68,14.25
415,georgetown,6.8,80.6,88,40,6.93
416,norfolk,36.85,73.18,81,1,9.17
417,kargil,34.56,13.82,91,88,0.38
418,flinders,-34.58,75.2,47,0,18.34
419,samana,0.12,87.89,59,8,2.95
420,darnah,32.77,73.04,100,0,11.23
421,ixtapa,20.71,82.4,69,90,3.36
422,buzuluk,52.79,32.72,84,44,9.1
423,mitsamiouli,-11.38,80.6,65,20,12.75
424,mutis,6.23,71.96,100,92,7.99
425,huarmey,-10.07,72.41,54,12,3.74
426,shizunai,42.33,32.05,98,0,2.39
427,revelganj,25.78,73.4,88,20,4.41
428,samarai,-10.62,79.75,100,76,16.26
429,manggar,-2.88,76.64,100,68,2.62
430,akonolinga,3.77,71.83,93,12,3.06
431,hirara,24.8,75.02,100,92,22.64
432,gohpur,26.89,63.73,92,92,1.16
433,boddam,57.47,44.6,70,48,13.87
434,dingle,11,76.15,94,8,8.77
435,santo angelo,-28.3,82.27,73,48,7.76
436,bonthe,7.53,78.44,95,0,1.95
437,saint-louis,47.59,48.2,93,75,3.36
438,kondinskoye,59.65,26.6,81,0,9.22
439,mabaruma,8.2,77.68,98,88,3.51
440,nagua,19.37,84.56,88,40,8.88
441,nakambala,-15.83,79.3,32,64,7.65
442,alghero,40.56,55.4,100,0,1.12
443,sosua,19.77,87.8,62,20,11.41
444,jizan,16.89,87.8,62,0,4.7
445,san patricio,-26.98,82.94,78,24,4.74
446,taltal,-25.41,64.67,79,68,2.84
447,mayumba,-3.44,76.15,99,0,3.85
448,rawson,-43.3,57.2,71,40,2.24
449,necochea,-38.55,50.45,100,92,15.48
450,gat,14.69,91.4,43,0,5.97
451,veraval,49.65,38.59,80,0,5.82
452,tilichiki,60.47,9.77,94,92,3.85
453,anaconda,46.13,48.02,55,90,11.41
454,nizwa,22.93,67.46,68,36,3.62
455,puerto narino,-3.77,86,74,75,4.7
456,hamilton,32.3,75.2,60,75,10.29
457,sao gabriel da cachoeira,-0.13,73.4,94,90,4.7
458,tupancireta,-29.08,81.32,72,44,10
459,grindavik,63.84,33.8,80,20,20.8
460,ambilobe,-13.19,73.85,69,0,6.98
461,kaabong,3.51,67.6,68,0,4.41
462,kuala terengganu,5.33,75.2,100,90,3.36
463,dudinka,69.41,-0.94,67,64,6.87
464,binzhou,37.38,35.87,79,0,2.73
465,taksimo,56.36,4.87,46,32,4.74
466,tucurui,-3.77,85.33,72,32,1.39
467,bahia blanca,-38.72,61.79,100,48,5.97
468,maniitsoq,65.42,14.72,100,0,8.77
469,ust-maya,60.42,10.76,77,32,5.97
470,matata,-37.89,55.63,100,92,11.45
471,kirakira,-10.46,81.14,100,76,21.3
472,lubango,-14.92,63.82,90,0,2.17
473,nyurba,63.29,15.22,64,76,8.1
474,katherine,-14.47,78.8,83,64,5.82
475,hambantota,6.12,78.35,100,56,3.74
476,huancavelica,-12.79,43.79,100,92,2.95
477,rockwall,32.93,70.75,30,1,10.29
478,pisco,-13.71,71.6,30,40,9.17
479,preobrazheniye,42.9,17.38,71,0,1.95
480,almaty,43.24,30.2,74,90,1.72
481,tiznit,29.7,61.93,91,0,3.18
482,caucasia,7.98,79.43,89,80,2.84
483,beberibe,-4.18,82.4,69,0,12.75
484,mango,44.69,54.19,82,75,11.41
485,coquimbo,-29.95,64.4,68,0,14.99
486,kruisfontein,-34,61.3,81,0,17.83
487,zeya,53.74,17.92,55,8,8.21
488,iksha,56.18,44.6,87,40,11.18
489,richards bay,-28.77,60.62,100,64,4.07
490,turangi,-39,47.08,100,92,8.77
491,grootfontein,-19.56,66.07,55,8,2.39
492,dovolnoye,54.5,29.17,92,92,19.73
493,broken hill,-31.97,63.23,46,0,10.67
494,gornoye loo,43.72,53.6,81,0,13.42
495,sao lourenco do sul,-31.37,69.8,60,0,14.99
496,muzambinho,-21.37,71.6,94,75,14.99
497,zamosc,50.72,51.71,92,20,2.73
498,nelson bay,-32.72,75.2,57,8,17.22
499,atambua,-9.11,76.37,100,20,5.41
500,maciel,-26.18,84.65,77,20,3.85
501,gryazovets,58.88,37.63,98,92,10
502,opuwo,-18.06,70.34,37,0,6.87
503,maluso,6.54,81.95,100,24,2.28
504,santa maria do suacui,-18.19,78.44,63,48,7.65
505,coffs harbour,-30.3,73.4,56,40,14.99
506,teguise,29.06,69.8,68,20,17.22
507,yatou,3.63,79.57,100,44,6.87
508,monroe,41.91,46.96,80,90,6.93
509,gidole,5.65,67.78,79,88,2.51
510,iguape,-24.7,71.69,97,92,12.12
511,arlit,18.74,69.13,22,0,3.29
512,vila velha,-3.71,82.4,69,0,12.75
513,grafton,-29.69,69.85,72,20,6.76
514,aktau,43.65,33.8,50,0,6.71
515,mocuba,-16.84,79.07,69,0,9.55
516,blackfoot,43.19,56.44,43,40,32.21
517,cockburn town,21.46,81.95,100,76,18.61
518,coihaique,-45.58,62.33,36,75,9.17
519,baiquan,47.61,40.6,58,12,10.33
520,urazovo,50.09,34.79,82,0,8.55
521,santa fe,-31.62,83.53,60,24,7.09
522,lowestoft,52.48,39.33,93,0,4.7
523,san rafael del sur,11.85,89.6,59,20,4.7
524,hurricane,37.18,58.84,36,1,3.4
525,khasan,42.43,38.62,100,0,3.85
526,sao joao da barra,-21.64,82.4,58,40,9.17
527,gouloure,12.23,87.8,45,0,2.24
528,potosi,-19.59,56.8,39,56,3.18
529,kurgan,55.45,33.67,95,76,11.23
530,kerman,30.29,46.4,39,0,13.87
531,balkanabat,39.51,32.18,53,0,5.19
532,vestmanna,62.16,42.8,81,92,14.99
533,banyo,6.75,79.93,35,88,7.76
534,ust-kuyga,70,-14.71,65,36,3.06
535,morondava,-20.3,71.24,100,0,5.64
536,paamiut,61.99,30.65,100,48,9.44
537,gonbad-e qabus,37.25,41.18,82,0,4.18
538,sao filipe,14.9,80.51,89,64,13.91
539,qaqortoq,60.72,21.2,67,40,3.36
540,udachnyy,66.42,3.29,80,76,3.85
541,mangai,-4.07,72.73,99,32,2.06
542,dumra,26.38,70.93,63,36,2.62
543,westport,53.8,46.4,100,90,23.04
544,moctezuma,29.81,73.45,30,0,2.84
545,clarence town,-32.59,75.2,57,20,17.22
546,susangerd,31.56,68,60,80,0.38
547,vanderhoof,54.02,42.58,90,44,7.09
548,bonavista,48.65,44.38,92,36,7.76
549,sao geraldo do araguaia,-6.4,87.62,59,44,1.61
550,doka,13.52,69.35,85,32,2.73
551,humaita,-24.93,81.68,51,40,6.93
552,mount gambier,-37.83,55.76,68,80,8.99
553,snasa,64.25,41,100,75,5.82
554,poya,-21.35,71.69,100,0,17.83
555,pizarro,4.95,74.03,100,92,1.72
556,nabire,-3.36,65.98,93,12,1.61
557,simav,39.09,41.36,67,0,2.51
558,berlin,52.52,45.52,87,0,1.12
559,vung tau,10.35,78.8,94,75,2.24
560,ponta delgada,37.73,68,88,75,8.05
561,bay roberts,47.58,44.6,70,75,6.93
562,skjervoy,70.03,43.79,100,0,18.34
563,khani,41.96,59,51,0,31.09
564,khash,28.22,33.71,59,0,4.97
565,nuevo progreso,26.05,77.58,33,75,4.7
566,coahuayana,18.62,77.77,81,12,2.84
